name,ico,address,city,nace,source
Svofia software s.r.o.,06804730,"Ve Smyčce 2422/17, Ústí nad Labem-centrum, 40011 Ústí nad Labem",Prague,62,ares
OPLT Software s.r.o.,06808352,"Plzeňská 3102, Kročehlavy, 27201 Kladno",Prague,62,ares
Brožek Software s.r.o.,06845177,"28. října 554, 51101 Turnov",Prague,62,ares
Trixi software s.r.o.,06865151,"Lomnického 1705/7, Nusle, 14000 Praha 4",Prague,62,ares
Agent Software s.r.o. v likvidaci,06907482,"Nad zatáčkou 507/2, Dolní Měcholupy, 10700 Praha 10",Prague,62,ares
Katalpa software s.r.o.,06964079,"Boloňská 603/17, Horní Měcholupy, 10900 Praha 10",Prague,62,ares
"Lazeux software integrations, s.r.o.",06972748,"Rochovská 758/3, Hloubětín, 19800 Praha 9",Prague,62,ares
Try24Get Software s.r.o.,06979955,"Olgy Havlové 2915/48, Žižkov, 13000 Praha 3",Prague,62,ares
Havlík Software s.r.o.,06980627,"Bořetice 59, 28002 Červené Pečky",Prague,62,ares
Original Software s.r.o.,06992030,"Krolmusova 498/21, Řepy, 16300 Praha 6",Prague,62,ares
Datura Software s.r.o.,07017430,"Zelená 944/5, Bubeneč, 16000 Praha 6",Prague,62,ares
PaBa Software s.r.o.,07072775,"Brabcova 1159/2, Podolí, 14700 Praha 4",Prague,62,ares
JPH Software s.r.o.,07080506,"Čs. armády 1181, 56201 Ústí nad Orlicí",Prague,62,ares
"Affable Software, s.r.o.",07083629,"Jindřišská 2037, Zelené Předměstí, 53002 Pardubice",Prague,62,ares
G-Nut Software s.r.o.,07101988,"U hřiště 117, 25166 Senohraby",Prague,62,ares
IT TrillionBytes Software s.r.o.,07144156,"Kurzova 2222/16, Stodůlky, 15500 Praha 5",Prague,62,ares
DKV software s.r.o.,07155174,"Petrohradská 1570/5, Vršovice, 10100 Praha 10",Prague,62,ares
ASaCS Software s.r.o.,07187351,"Akátová 143, Lešany, 27751 Nelahozeves",Prague,62,ares
STEADY SOFTWARE SOLUTIONS s.r.o.,07188030,"Jaurisova 515/4, Michle, 14000 Praha 4",Prague,62,ares
Fix Software s.r.o.,07190166,"Jindřicha Plachty 596/8, Smíchov, 15000 Praha 5",Prague,62,ares
Seamless Software s.r.o.,07197888,"Počátecká 583/7, Michle, 14000 Praha 4",Prague,62,ares
PaleFox Software s.r.o.,07313659,"Jaurisova 515/4, Michle, 14000 Praha 4",Prague,62,ares
EffCo Software s.r.o.,07327382,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
MA software s.r.o.,07424001,"Nopova 3639/38, Židenice, 61500 Brno",Prague,62,ares
Software Projects s.r.o.,07517785,"Nad přehradou 619, Horní Měcholupy, 10900 Praha 10",Prague,62,ares
DPS Software CZ s.r.o.,07543417,"Na Rovince 879, Hrabová, 72000 Ostrava",Prague,62,ares
AOSS software development s.r.o. v likvidaci,07577389,"Tvrdého 643, Letňany, 19900 Praha 9",Prague,62,ares
K2 Software s.r.o.,07613539,"Koksární 1097/7, Přívoz, 70200 Ostrava",Prague,62,ares
DECIPHER SOFTWARE SOLUTIONS LLC odštěpný závod,07681666,"Roháčova 145/14, Žižkov, 13000 Praha 3",Prague,62,ares
Software Technology s.r.o.,07691980,"Budějovická 618/53, Krč, 14000 Praha 4",Prague,62,ares
RV Software s.r.o.,07706456,"Zeyerova 1456, 43801 Žatec",Prague,62,ares
Bigroot Software a.s.,07802901,"Škroupova 549, Bílé Předměstí, 53003 Pardubice",Prague,62,ares
Midnight software s.r.o.,07821093,"Korunní 2569/108, Vinohrady, 10100 Praha 10",Prague,62,ares
United Software s. r. o.,07990260,"Cimburkova 916/8, Žižkov, 13000 Praha 3",Prague,62,ares
Software 4u s. r. o.,07990278,"Osadní 869/32, Holešovice, 17000 Praha 7",Prague,62,ares
AML system software s.r.o.,07993501,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
Davmo Software s.r.o.,08068470,"Podbabská 81/17, Bubeneč, 16000 Praha 6",Prague,62,ares
ATLNT Software Group s.r.o.,08132348,"Cimburkova 916/8, Žižkov, 13000 Praha 3",Prague,62,ares
Appello Software  s.r.o.,08172421,"Pobřežní 620/3, Karlín, 18600 Praha 8",Prague,62,ares
Prikryl Software s.r.o.,08248460,"Mišákova 326/15, Nové Sady, 77900 Olomouc",Prague,62,ares
Buffa Software s.r.o.,08370591,"č.p. 4, 27342 Dřetovice",Prague,62,ares
Fram Software s.r.o.,08379653,"Hevlínská 495/3, Zličín, 15521 Praha 5",Prague,62,ares
Software Digital s.r.o.,08426937,"Hamerská 629/48, Holice, 77900 Olomouc",Prague,62,ares
Software Art s.r.o.,08438323,"Botanická 554/68a, Ponava, 60200 Brno",Prague,62,ares
AVIKKO Software s.r.o.,08502102,"Vašátkova 1007/24, Černý Most, 19800 Praha 9",Prague,62,ares
INNOWISE SOFTWARE s.r.o.,08562229,"Viklefova 1605/17, Žižkov, 13000 Praha 3",Prague,62,ares
OG Software Solutions s.r.o.,08581401,"Rybalkova 1433/14, Vinohrady, 12000 Praha 2",Prague,62,ares
SOFTWARE Technology Center s.r.o.,08596042,"Korunní 1065/107, Vinohrady, 13000 Praha 3",Prague,62,ares
Financial Software s.r.o.,08598045,"Kaprova 42/14, Staré Město, 11000 Praha 1",Prague,62,ares
Fireball Software s.r.o.,08642630,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
R1 Software s.r.o.,08669066,"Varšavská 715/36, Vinohrady, 12000 Praha 2",Prague,62,ares
Azure Software Development Corporation s.r.o.,08699577,"Jičínská 226/17, Žižkov, 13000 Praha 3",Prague,62,ares
Kačina Software s.r.o.,08734623,"Bezručova 395, Kolín III, 28002 Kolín",Prague,62,ares
